Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6
ENSG00000036565,0,1,0,0,0,0
ENSG00000036672,69,49,54,118,116,159
ENSG00000036828,0,2,0,0,0,0
ENSG00000037042,9,15,10,14,14,22
ENSG00000037241,723,759,714,831,782,991
ENSG00000037280,551,511,618,843,773,1278
ENSG00000037474,7188,7724,6441,8981,8511,13980
ENSG00000037637,579,674,575,580,503,707
ENSG00000037749,1132,1280,1097,959,970,1167
ENSG00000037757,202,193,217,347,290,440
ENSG00000037897,326,284,306,548,539,839
ENSG00000037965,178,120,168,600,537,722
ENSG00000038002,242,209,308,261,236,443
ENSG00000038210,231,238,256,421,404,458
ENSG00000038219,3763,4266,3121,2616,2421,3166
ENSG00000038274,1985,2189,2100,2642,2387,2183
ENSG00000038295,13,17,17,28,53,6
ENSG00000038358,3445,3430,3026,3853,3552,6034
ENSG00000038382,26771,27144,20669,20228,18729,39321
ENSG00000038427,4,2,1,0,2,10
ENSG00000038532,4077,4507,3945,2262,2051,3467
ENSG00000038945,0,0,0,0,0,2
ENSG00000039068,435,564,428,133,154,126
ENSG00000039123,1304,1252,1217,1935,1784,2132
ENSG00000039139,55,72,65,80,68,86
ENSG00000039319,1332,1602,1380,1055,1096,1140
ENSG00000039523,6602,6893,5418,3983,3554,6594
ENSG00000039537,0,0,2,1,0,2
ENSG00000039560,3451,3890,3726,4573,4254,5236
ENSG00000039600,4,4,6,2,1,5
ENSG00000039650,3358,3224,3058,2690,2607,4703
ENSG00000039987,5,3,3,2,0,2
ENSG00000040199,3234,3768,2835,2098,2029,2545
ENSG00000040275,286,305,385,2030,1905,1998
ENSG00000040341,951,1081,1046,860,846,719
ENSG00000040487,1053,1005,859,863,828,1854
ENSG00000040531,939,1000,937,927,789,1440
ENSG00000040608,504,400,585,854,711,1562
ENSG00000040633,2087,2038,2085,1692,1502,2579
ENSG00000040731,37,34,45,4,15,14
ENSG00000040933,2950,2853,2932,1965,1830,2647
ENSG00000041353,9,16,23,28,29,33
ENSG00000041357,4979,5160,5435,6721,6212,7678
ENSG00000041515,161,163,179,294,279,370
ENSG00000041802,3376,3513,3136,3396,3240,4284
ENSG00000041880,1659,1592,1815,1361,1247,1951
ENSG00000041982,338,329,307,1624,1620,5568
ENSG00000041988,86,91,78,127,115,135
ENSG00000042062,50,40,34,14,14,13
ENSG00000042088,403,412,435,770,724,1113
ENSG00000042286,1948,2004,1949,2148,1926,3407
ENSG00000042304,0,0,0,0,0,0
